file,molecule,mol_pred_loaded,sanitization,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-0,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-1,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-2,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-3,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-4,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-5,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-6,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-7,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-8,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,LXINEYASRREWNB-UHFFFAOYSA-N-9,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-0,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-1,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-2,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-3,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-4,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-5,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-6,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-7,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-8,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BHKVBKDDVLQZCR-UHFFFAOYSA-N-9,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-0,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-1,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-2,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-3,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-4,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-5,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-6,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-7,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-8,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,GHOYNZDJCPMSBM-UHFFFAOYSA-N-9,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-0,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-1,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-2,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-3,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-4,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-5,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-6,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-7,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-8,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,BCPKNOZHZDDVQN-UHFFFAOYSA-N-9,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-0,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-1,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-2,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-3,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-4,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-5,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-6,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-7,True,True,True,True,True,True,True,True,True
rdkit_place.sdf,UASLKFQKYXHLQJ-UHFFFAOYSA-N-8,True,True,True,True,True,True,True,True,True
